freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.153e+01,2.141e+01,4.665e+03,4.708e+03
1.6,3.075e+01,2.680e+01,2.420e+04,2.425e+04
3.1,2.354e+01,1.812e+01,8.064e+03,8.105e+03
4.7,2.332e+01,1.989e+01,3.110e+03,3.153e+03
6.3,2.404e+01,3.347e+01,1.963e+03,2.020e+03
7.8,2.652e+01,4.876e+01,1.304e+03,1.379e+03
9.4,2.627e+01,2.435e+01,9.344e+02,9.850e+02
11.0,2.609e+01,2.103e+01,7.988e+02,8.460e+02
12.5,2.801e+01,2.240e+01,8.069e+02,8.573e+02
14.1,2.534e+01,2.094e+01,7.711e+02,8.174e+02
15.7,2.375e+01,2.107e+01,9.927e+02,1.037e+03
17.2,2.759e+01,2.095e+01,1.185e+03,1.234e+03
18.8,2.688e+01,2.144e+01,1.355e+03,1.403e+03
20.4,2.690e+01,2.066e+01,1.658e+03,1.706e+03
21.9,3.084e+01,2.116e+01,2.167e+03,2.219e+03
23.5,4.018e+01,2.109e+01,2.785e+03,2.846e+03
25.1,4.456e+01,2.125e+01,3.355e+03,3.421e+03
26.6,3.796e+01,2.179e+01,3.903e+03,3.963e+03
28.2,3.030e+01,3.000e+01,4.884e+03,4.944e+03
29.8,3.144e+01,4.016e+01,5.379e+03,5.451e+03
31.3,4.117e+01,3.684e+01,4.923e+03,5.001e+03
32.9,4.056e+01,2.552e+01,6.618e+03,6.684e+03
34.5,3.807e+01,2.342e+01,9.023e+03,9.084e+03
36.0,3.128e+01,2.835e+01,1.193e+04,1.199e+04
37.6,2.988e+01,3.738e+01,1.539e+04,1.546e+04
39.2,3.240e+01,3.608e+01,1.996e+04,2.002e+04
40.7,3.361e+01,3.266e+01,2.529e+04,2.535e+04
42.3,3.573e+01,3.097e+01,2.973e+04,2.980e+04
43.9,4.458e+01,3.133e+01,3.611e+04,3.618e+04
45.4,5.667e+01,3.225e+01,4.927e+04,4.936e+04
47.0,9.077e+01,4.659e+01,6.884e+04,6.898e+04
48.6,1.618e+02,8.412e+01,1.008e+05,1.010e+05
50.1,6.976e+02,1.699e+02,1.446e+05,1.454e+05
51.7,1.777e+03,1.801e+02,1.638e+05,1.658e+05
53.3,1.543e+03,8.986e+01,1.941e+05,1.957e+05
54.8,8.781e+02,8.461e+01,2.534e+05,2.543e+05
56.4,7.223e+02,1.538e+02,3.526e+05,3.535e+05
58.0,9.073e+02,2.824e+02,5.808e+05,5.820e+05
59.5,9.866e+02,3.673e+02,9.775e+05,9.789e+05
61.1,1.470e+03,6.312e+02,1.582e+06,1.584e+06
62.7,3.106e+03,1.132e+03,2.356e+06,2.360e+06
64.2,2.209e+03,2.482e+03,3.192e+06,3.197e+06
65.8,6.850e+02,4.358e+03,4.479e+06,4.484e+06
67.4,1.491e+03,4.118e+03,4.093e+06,4.098e+06
68.9,2.030e+03,2.844e+03,2.954e+06,2.959e+06
70.5,1.642e+03,1.819e+03,2.035e+06,2.038e+06
72.1,9.617e+02,1.194e+03,1.478e+06,1.480e+06
73.6,1.656e+03,1.494e+03,1.555e+06,1.559e+06
75.2,2.747e+03,1.632e+03,1.468e+06,1.473e+06
76.8,2.472e+03,1.632e+03,1.235e+06,1.239e+06
78.3,2.265e+03,2.539e+03,1.236e+06,1.241e+06
79.9,3.436e+03,4.618e+03,1.474e+06,1.482e+06
81.5,4.107e+03,5.249e+03,1.430e+06,1.439e+06
83.0,3.924e+03,4.247e+03,1.189e+06,1.197e+06
84.6,2.983e+03,3.566e+03,1.134e+06,1.140e+06
86.2,1.647e+03,2.802e+03,1.159e+06,1.164e+06
87.7,1.459e+03,2.952e+03,1.214e+06,1.219e+06
89.3,2.010e+03,3.351e+03,1.375e+06,1.380e+06
90.9,2.278e+03,3.941e+03,1.548e+06,1.555e+06
92.4,2.363e+03,4.443e+03,1.640e+06,1.646e+06
94.0,2.785e+03,4.338e+03,2.076e+06,2.083e+06
95.6,3.277e+03,4.630e+03,2.409e+06,2.417e+06
97.1,4.339e+03,9.422e+03,2.604e+06,2.618e+06
98.7,6.789e+03,2.895e+04,3.959e+06,3.995e+06
100.3,1.030e+04,4.624e+04,5.311e+06,5.367e+06
