freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.774e+01,3.808e+03,1.629e+02,4.009e+03
1.6,1.682e+02,2.358e+04,1.808e+02,2.393e+04
3.1,2.136e+02,7.775e+03,8.563e+01,8.074e+03
4.7,2.286e+02,2.960e+03,8.750e+01,3.276e+03
6.3,2.296e+02,1.950e+03,8.177e+01,2.261e+03
7.8,2.362e+02,1.410e+03,9.452e+01,1.741e+03
9.4,1.895e+02,8.832e+02,8.570e+01,1.158e+03
11.0,1.912e+02,7.513e+02,8.075e+01,1.023e+03
12.5,2.244e+02,7.883e+02,7.465e+01,1.087e+03
14.1,2.224e+02,7.444e+02,7.926e+01,1.046e+03
15.7,1.915e+02,8.742e+02,8.548e+01,1.151e+03
17.2,1.828e+02,9.734e+02,9.057e+01,1.247e+03
18.8,1.957e+02,1.087e+03,9.143e+01,1.374e+03
20.4,1.955e+02,1.341e+03,8.465e+01,1.621e+03
21.9,2.217e+02,1.666e+03,8.305e+01,1.971e+03
23.5,2.252e+02,2.015e+03,1.096e+02,2.349e+03
25.1,2.030e+02,2.486e+03,1.072e+02,2.796e+03
26.6,2.231e+02,2.913e+03,1.081e+02,3.245e+03
28.2,2.433e+02,3.011e+03,1.045e+02,3.359e+03
29.8,2.135e+02,3.272e+03,1.293e+02,3.615e+03
31.3,2.975e+02,3.729e+03,1.684e+02,4.195e+03
32.9,3.555e+02,3.938e+03,1.428e+02,4.436e+03
34.5,2.669e+02,4.963e+03,2.368e+02,5.467e+03
36.0,2.165e+02,5.005e+03,2.677e+02,5.489e+03
37.6,2.479e+02,5.020e+03,1.910e+02,5.459e+03
39.2,2.447e+02,6.185e+03,1.388e+02,6.568e+03
40.7,2.133e+02,7.749e+03,1.316e+02,8.094e+03
42.3,1.819e+02,9.519e+03,1.496e+02,9.850e+03
43.9,1.928e+02,1.178e+04,1.492e+02,1.212e+04
45.4,2.231e+02,1.393e+04,1.405e+02,1.430e+04
47.0,2.948e+02,1.701e+04,2.210e+02,1.753e+04
48.6,4.436e+02,2.004e+04,3.874e+02,2.087e+04
50.1,7.265e+02,2.153e+04,4.689e+02,2.273e+04
51.7,6.090e+02,2.370e+04,4.217e+02,2.473e+04
53.3,4.506e+02,2.956e+04,4.503e+02,3.046e+04
54.8,5.143e+02,3.627e+04,6.550e+02,3.744e+04
56.4,3.642e+02,4.686e+04,8.497e+02,4.807e+04
58.0,3.271e+02,5.727e+04,1.215e+03,5.881e+04
59.5,2.973e+02,6.248e+04,8.210e+02,6.360e+04
61.1,3.459e+02,8.228e+04,8.413e+02,8.347e+04
62.7,4.722e+02,1.082e+05,1.486e+03,1.101e+05
64.2,5.531e+02,1.337e+05,4.775e+03,1.390e+05
65.8,4.783e+02,1.651e+05,7.538e+03,1.731e+05
67.4,3.907e+02,2.081e+05,8.055e+03,2.166e+05
68.9,4.068e+02,2.922e+05,8.775e+03,3.013e+05
70.5,4.749e+02,4.132e+05,1.148e+04,4.252e+05
72.1,6.097e+02,6.388e+05,1.634e+04,6.557e+05
73.6,1.262e+03,1.206e+06,4.072e+04,1.248e+06
75.2,3.159e+03,2.272e+06,1.165e+05,2.392e+06
76.8,6.184e+03,3.779e+06,2.419e+05,4.027e+06
78.3,7.668e+03,4.603e+06,5.213e+05,5.132e+06
79.9,5.420e+03,3.799e+06,5.855e+05,4.390e+06
81.5,3.778e+03,3.016e+06,2.869e+05,3.306e+06
83.0,2.644e+03,2.297e+06,7.409e+04,2.373e+06
84.6,1.863e+03,1.667e+06,3.532e+04,1.704e+06
86.2,2.786e+03,1.377e+06,8.616e+04,1.466e+06
87.7,3.945e+03,1.194e+06,1.639e+05,1.362e+06
89.3,5.536e+03,1.151e+06,1.527e+05,1.309e+06
90.9,9.226e+03,1.193e+06,1.564e+05,1.358e+06
92.4,1.147e+04,1.134e+06,1.536e+05,1.299e+06
94.0,1.307e+04,1.028e+06,1.438e+05,1.184e+06
95.6,1.825e+04,9.849e+05,1.453e+05,1.148e+06
